device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,7,33.05,15.57,93963.62,59327,1,1,4387974
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,7,32.40,16.52,93984.34,67439,1,1,4387995
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,7,33.04,15.81,93986.77,71748,1,1,4388016
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,7,32.93,15.53,93976.12,67386,1,1,4388037
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,8,30.07,18.24,93940.38,176247,1,1,4395451
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,8,30.63,17.94,93964.78,105588,1,1,4395452
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,8,31.41,16.72,93962.09,106644,1,1,4395464
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,8,31.55,16.58,93986.86,100549,1,1,4395486
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,8,32.97,15.69,93961.56,89043,1,1,4395507
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,8,32.31,16.66,93980.68,143497,1,1,4395529
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,8,32.99,15.71,93987.30,145578,1,1,4395550
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,8,32.87,15.64,93974.28,125829,1,1,4395571
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,9,30.12,18.15,93942.07,194233,1,1,4402933
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,9,30.69,17.85,93963.36,115056,1,1,4402935
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,9,31.46,16.62,93961.96,51118,1,1,4402947
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,9,31.62,16.49,93988.04,106113,1,1,4402958
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,9,32.83,15.86,93963.77,261892,1,1,4402970
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,9,32.17,16.90,93982.96,603951,1,1,4402991
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,9,32.85,15.90,93986.64,683122,1,1,4403013
